Datetime,Text
2022-08-08 07:14:04+00:00,"@asyrewicze @asyrewicze, I think your coworker may be related to my coworker, as he does the same thing  :) #cavoodle https://t.co/TXMszoKyuR"
2022-08-08 07:03:25+00:00,Yay we are the top dog breed right now! #cavoodle #Australia https://t.co/jc48Rya3d3
2022-08-07 07:48:47+00:00,"I mean, is there anything cuter than my pupper after a groom? #puppysplash #cavoodle https://t.co/O7beGEX2rR"
2022-08-01 22:01:06+00:00,"Bloody winter 🐶😃 
#puppy #cavoodle #snuggle https://t.co/ZpZ1ZxWs5x"
2022-08-01 10:42:10+00:00,"No difference, really. 
He snarls like the best. #loveemall 
.
.
@billyidol @elvis #cavoodle #hismiddlenameispresley #snarl #billyidol #elvispresley https://t.co/CXGnzLQqI8"
2022-08-01 07:21:26+00:00,"Mumma’s home. #❤️ #🐶🐶 
.
.
#cavoodle #furkids #imstuffed #nannasgettinon #effyouoldadulting https://t.co/pE1vLZzfcC"
2022-07-31 14:39:03+00:00,#dogharness #dogfashion #dogclothes #dogcollars #dogleads #dogstyle #doggifts #giftfordogs #dogdad #dogmom #pettags #dogbusiness #petbandana #dogaccessories #dogaustralia #cavoodle #cavoodleaustralia #dogsinclothes https://t.co/zGTLnVlDVM
2022-07-30 23:23:58+00:00,"Can I help?

#cavoodle #cavoodlesofinstagram #puppy #innerwestsydney #puppyeyes @ Sydney, Australia https://t.co/0XgWNsvcWm"
2022-07-30 11:06:09+00:00,"Book tour day 2 with Canela the #cavoodle in Lane Cove.  Without Canela, this book would have been written in half the time it actually took. #authorlife 

Canela dressed by @pupakiotti of Milan. https://t.co/aK3J3efTN5"
2022-07-30 06:54:22+00:00,"Our pup’s first time on this walk. It was really windy, which scared him a little. But he did great, managing to walk most of the 9km. He was exhausted by the time we got back to the car ❤️
https://t.co/a2JHcblv6s #Sydney #walk #coogee #bronte #outdoors #family #cavoodle #dayout https://t.co/SSNrfqbQsJ"
2022-07-28 05:20:03+00:00,"Our Wellbeing Officer works hard! (But snoozes harder). 😴

#PurpleGiraffe #MarketingConsultant #MarketingAdelaide #MarketingStrategy #OfficeDog #OfficeWellbeing #Puppy #Dog #Cavoodle https://t.co/Kg1Ckmjm0N"
